# Podíl paliv na primární energetické spotřebě ČR, v procentech.
# ZDROJ NEOVĚŘEN: převzato z větve d3-visual-style-testing
# (_data/dashboard-dovoz-fosilnich-paliv.yml), kde není uveden žádný zdroj.
# Jiné řady v témže souboru mají chyby — HDP 2025 je tam 10 093 mld. Kč místo
# 8 573 a výdaje za plyn sedí o ~3 % níž než celní statistika — takže než se
# tahle řada publikuje, je potřeba ji potvrdit proti energetické bilanci
# ČSÚ/Eurostatu. Řádky sčítají na ~99,2 %, ne na 100; graf je normalizovaný.
year,dovoz_ropy,dovoz_plynu,pevna_paliva,domace_fos,jaderne_teplo,oze
2017,21.8,15.5,4.5,30.4,17.1,9.9
2018,22.3,14.8,4.7,29.0,18.1,10.3
2019,22.5,15.9,4.9,26.7,18.4,10.9
2020,22.1,16.1,4.2,25.1,19.7,11.9
2021,22.5,16.6,4.3,24.6,19.2,12.0
2022,23.4,14.0,4.2,26.1,19.1,12.5
2023,24.4,14.7,4.1,23.4,19.3,13.3
2024,24.6,15.8,4.0,20.4,19.8,14.5
2025,24.6,16.8,3.9,17.4,20.2,16.2
